Feature1;Feature2;Feature3;Feature4;Feature5;Feature6;Feature7;Feature8;Feature9;Feature10;Feature11;Pensioner
5;7;28;1;1;0;0;1;0;1;0;0
4;85;101;55;0;0;2;3;1;1;0;0
16;195;5;14;1;1;1;26;1;1;0;0
0;1;0;0;23;8;339;0;1;0;1;0
4;50;6;23;1;0;2;18;1;1;0;0
0;0;0;0;0;0;0;0;0;1;0;0
8;52;7;24;0;0;4;5;1;1;0;0
5;48;66;9;0;0;4;3;1;1;0;0
13;1;1;49;3;16;5;19;1;0;1;0
10;94;42;27;2;8;2;33;1;1;0;0
0;6;250;0;0;0;0;0;1;0;0;0
61;2308;7;143;3;2;12;37;1;1;0;0
0;12;0;0;0;0;0;0;0;1;0;0
42;331;28;256;0;1;2;60;1;1;0;0
0;7;11;0;0;0;0;0;3;1;0;0
24;33;6;14;0;1;2;5;1;1;0;0
1;67;0;1;0;0;1;2;1;0;1;0
28;63;23;71;2;12;3;35;4;0;1;0
0;35;0;2;1;0;1;3;1;1;0;0
6;53;4;7;0;0;1;4;1;1;0;0
15;6;371;23;0;0;1;1;1;1;0;0
19;275;112;57;0;1;1;9;1;1;0;0
0;4;0;0;0;0;0;1;0;1;0;1
8;108;0;11;0;5;1;11;1;0;1;1
3;43;4;11;0;4;1;22;0;1;0;0
0;1;1;1;0;0;0;0;0;1;0;0
2;122;11;3;0;0;1;5;1;1;0;0
9;0;0;6;1;2;1;1;1;0;1;0
72;290;0;165;0;0;1;11;5;1;0;0
2;9;0;2;0;0;0;3;0;0;0;0
0;5;0;5;0;2;1;2;0;0;1;0
0;0;0;0;0;0;0;0;0;1;0;0
25;107;5;34;0;2;1;15;1;1;0;0
1;7;1;0;0;0;1;1;1;1;0;1
1;35;1;1;0;0;1;1;0;0;0;0
10;84;0;8;0;0;1;5;1;1;0;0
5;289;0;31;2;2;31;5;1;0;1;0
32;547;124;56;0;0;4;23;1;1;0;0
29;379;85;36;6;0;3;29;1;1;0;0
18;60;21;21;0;2;1;17;0;1;0;1
8;76;21;16;0;2;4;5;1;0;0;0
34;785;142;150;1;1;5;22;1;0;0;0
0;1;0;0;0;2;0;0;0;1;0;0
20;520;39;47;1;3;2;32;1;1;0;0
37;174;3;38;0;1;2;10;1;1;0;0
3;17;3;2;0;0;2;1;1;0;0;1
0;50;0;3;0;0;1;1;0;1;0;0
19;229;1;39;1;6;11;21;1;1;0;0
29;159;8;44;0;0;5;7;1;1;0;0
9;56;11;9;1;0;1;13;2;1;0;0
21;52;34;41;0;1;6;14;1;1;0;0
6;66;1;16;1;0;1;3;1;1;0;0
4;8;0;6;3;0;27;1;2;0;1;0
2;21;7;8;1;0;1;1;0;1;0;0
0;1;1;0;0;0;1;1;0;1;0;0
11;2;3;24;1;6;2;9;1;0;1;0
9;373;40;13;0;0;2;13;0;1;0;0
17;66;22;26;1;0;1;6;1;1;0;0
4;31;0;15;0;0;2;8;2;1;0;0
8;50;107;9;0;2;2;2;1;1;0;1
4;96;10;17;0;0;1;2;1;1;0;0
80;123;26;95;6;1;1;34;2;1;0;1
28;313;19;48;0;0;1;2;1;1;0;0
0;1;0;0;0;0;0;0;0;1;0;0
38;155;30;17;0;1;1;12;1;1;0;0
1;81;22;13;0;1;1;5;1;1;0;1
20;130;10;42;0;0;1;4;1;0;1;0
0;0;0;0;0;1;5;0;1;0;1;0
3;0;0;0;0;0;1;4;0;1;0;0
1;3;0;0;0;0;0;0;0;0;0;0
0;35;6;9;0;1;2;9;1;1;0;0
41;305;26;48;4;2;5;48;1;1;0;0
2;80;1;13;6;2;17;29;1;0;1;1
3;1;1;10;0;0;0;0;0;1;0;0
0;8;0;0;0;0;0;0;0;1;0;0
34;157;28;35;3;5;2;23;1;1;0;0
3;1;15;0;0;0;2;3;1;1;0;0
66;57;1;16;0;0;3;3;1;1;0;1
24;169;1;36;1;3;1;5;1;0;1;0
13;38;7;8;0;0;1;3;0;1;0;1
4;104;4;5;0;0;1;2;0;1;0;0
19;119;5;136;3;3;2;18;3;0;0;0
5;4;3;5;2;2;1;4;0;1;0;0
7;5;90;8;0;0;0;0;4;0;0;0
0;0;0;0;0;0;15;0;2;0;0;0
10;83;5;23;4;3;1;24;4;1;0;1
1;45;13;2;0;0;1;1;0;1;0;0
23;1;1;33;0;1;2;10;1;0;1;0
0;17;0;0;0;0;1;1;0;1;0;0
2;40;0;1;0;4;1;2;0;0;1;0
3;76;1;13;0;0;2;2;1;1;0;0
1;35;12;8;1;0;2;3;1;1;0;0
4;39;0;5;0;1;2;5;1;1;0;1
41;76;2;39;2;0;1;17;1;1;0;0
34;459;6;70;0;3;3;32;6;1;0;0
0;0;0;0;1;0;0;0;0;1;0;1
51;379;122;61;3;0;1;14;1;1;0;0
14;7;0;28;0;6;2;5;1;0;1;1
0;15;4;0;0;0;1;0;0;1;0;0
3;107;221;12;1;1;1;9;2;1;0;0
4;39;0;8;0;0;2;1;1;0;1;0
29;301;13;51;4;3;8;49;15;1;0;1
6;36;3;5;0;0;1;1;0;1;0;0
4;21;0;12;0;0;3;2;1;0;1;0
6;25;2;16;1;1;12;4;1;0;1;0
0;5;0;1;0;0;1;0;0;1;0;0
4;92;0;13;1;0;3;11;1;1;0;1
19;314;104;29;0;3;3;6;1;1;0;0
4;80;6;8;1;1;4;15;1;1;0;0
27;216;121;57;2;2;4;31;2;1;0;0
2;5;0;16;0;0;1;1;1;0;1;0
49;570;7;54;1;2;1;21;1;1;0;0
2;8;1;3;0;0;0;1;0;1;0;1
0;1;2;3;0;0;1;1;1;0;1;0
6;95;2;9;0;2;5;2;1;0;1;0
0;0;0;0;0;0;9;0;0;0;1;1
16;915;30;11;0;1;5;16;1;1;0;0
12;69;158;20;0;0;2;4;1;1;0;0
1;11;2;0;0;0;1;0;0;1;0;0
27;154;1;40;1;2;2;14;1;1;0;0
0;1;0;0;0;0;1;150;0;1;0;0
0;80;7;2;0;0;2;8;1;1;0;0
12;97;8;30;2;2;6;9;1;0;1;1
0;1;0;0;9;5;67;1;1;0;1;0
3;36;2;6;0;0;2;5;0;1;0;0
60;218;107;153;0;2;20;16;1;1;0;0
1;147;1;0;0;0;3;1;1;1;0;0
4;77;29;7;1;1;1;11;1;1;0;0
1;29;0;5;0;0;0;2;1;1;0;0
4;32;32;11;1;0;6;1;1;1;0;0
45;354;4;133;1;0;1;14;1;1;0;0
7;159;3;20;0;0;8;5;1;1;0;0
2;15;17;1;0;0;4;3;0;1;0;0
17;327;14;49;2;4;2;13;2;1;0;1
0;14;0;6;0;0;1;2;1;0;0;0
12;46;0;13;1;5;2;7;1;0;1;0
8;34;0;13;0;1;1;5;1;1;0;0
16;526;124;36;2;2;1;78;1;1;0;0
14;45;8;11;1;1;6;9;2;0;1;1
